nombre app,url,descripción,numRatings,ratings4,ratings5,recentChanges,reviews
enGuardia,https://play.google.com/store/apps/details?id=com.playmebit.android.stwidoctus.idoctussemi,"La aplicación enGuardia es una herramienta móvil de ayuda asistencial dirigida a médicos clínicos, que nace de la necesidad de los médicos que están de guardia y/o tratan patología urgente. Presenta información médica, de diagnóstico y tratamiento, de especial relevancia para el médico en el punto de atención y situaciones de urgencia. Desarrollada por el equipo de iDoctus, creadores de la aplicación médica de ayuda en consulta líder en español, con más de 100.000 usuarios médicos, en colaboración con la Sociedad Española de Medicina Interna (SEMI), referencia científico-médica en España y Latinoamérica. Esta alianza es un aval en sí mismo, ya que el contenido ha sido creado ad-hoc por el grupo de trabajo de residentes de la SEMI, y, por otro lado, la aplicación cuenta con todo el conocimiento y experiencia de iDoctus en el diseño y desarrollo de aplicaciones médicas. No en vano, iDoctus es la aplicación médica número uno en español, y cuenta con una excelente valoración de sus usuarios (4.5 de valoración en Play Store). La aplicación enGuardia presenta una estructura en cuatro grandes apartados: 1. Temas de Diagnóstico diferencial, que incluyen algoritmos diagnósticos para llegar al diagnóstico a partir de los signos y síntomas y otra información clínica del paciente. 2. Temas de patologías (con 70 temas actualmente y muchos otros temas que se irán incorporando progresivamente) hasta cubrir los tópicos fundamentales de la patología urgente. 3. Algoritmos interactivos, algoritmos detallados, de diagnóstico y prescripción, que muestran y guían al médico en los distintos cursos de acción. Relacionados unos con otros, refieren a otros protocolos para tener una visión completa del proceso asistencial. 4. Suite de herramientas de especial utilidad en patología médica urgente. Actualmente con 21 herramientas, como la escala Apache, el cálculo de déficit de agua, la escala Wells, o el riesgo de sangrado de un paciente (Has-Bled), entre otras, a las que también se irán añadiendo nuevas calculadoras y escalas, en sucesivos desarrollos de enGuardia. Al pertenecer a la familia de productos iDoctus, enGuardia presenta la ventaja de conectar con iDoctus (si el usuario tiene los permisos oportunos) y poder ofrecer, por tanto, respuesta a través de una única experiencia de navegación y tan sólo dos apps, a la mayor parte de las necesidades de información diagnóstica y de prescripción de los médicos. Como en todos los productos y servicios iDoctus, se ha cuidado mucho la parte de dusabilidad para el médico. Con un diseño muy intuitiva y una estructura y navegación muy adecuadas a las necesidades del médico y consistentes para permitir un rápido acceso a la información. También se ha incorporado una capa iconográfica que ayuda al medico a navegar la aplicación, descubrir y utilizar contenidos. Los distintos tipos de contenidos se identifican con el icono correspondiente y también se señala, con otras ayudas iconográficas, donde hay navegación cruzada entre elementos dentro de la app, por ejemplo de un tema de patología a una herramienta (como puede ser el caso de tratamiento de la fibrilación auricular a la herramienta de Chad2DS2VASc para estimar el riesgo de ACV). En definitiva, una aplicación completa, que da respuesta, gracias a su conexión con iDoctus, a las necesidades de información de médico clínico que trata patología urgente.",212,4.3,43,136,[Actualización de contenidos.],"[Muy buena aplicación - ¡ SUPER ! Por ejemplo, me abro CEFALEA - y sé que algoritmo tengo que utilizar. No puedo acordar todo, pero con enGuardia tengo todo a mi alcance y a mi mano))) Muchas gracias., No puedo pagarla Estoy intentando suscribirme y cada vez que intento pagar me lanza error, he comprado otra apps hoy mismo con la misma tarjeta y no he tenido problema, está restringida de alguna forma a algún país?, Hay que registrarse y necesitas estar colegiado. Soy estudiante de medicina y este verano haré practicas en Urgencias. ¿Habría alguna forma de poder usar la aplicación? Gracias., Me gusta está bien pensada, pero tiene que mejorar, los márgenes que deja de bordes es demasiado, la parte superior ocupa un cuarto de la pantalla, sería mejor que puedan ocultarse para mejorar la visibilidad del contenido de una manera más agradable,. También podría agregarse un pequeño espacio en cada patología para tomar una nota, de manera de poder anotar medicamentos o terapéutica disponibles en la unidad que estamos, creo que eso la haría perfecta. Felicitaciones! Sigan así!, Una aplicación muy buena en cuanto a contenido, muy recomendable para afrontar con más seguridad las guardias... además un servicio técnico muy competente, que tras comentarles un problema me han buscado una solución rapida y se han tomado mucho interés., Disculpa no sabia que exclusivo para doctores Pete vi algo ke me interesó mucho y son los algoritmos actualmente te soy paramedico o tecnico en atención prehospitalaria y tengo certificación phtls,bls,acls crees que se pueda hacer algo]"
Presión arterial Diario,https://play.google.com/store/apps/details?id=kr.co.openit.bpdiary,"Por favor iniciar su control de la presión arterial con ""Presión arterial Diario"" Usted no tiene que registrar su presión arterial en el cuaderno de papel más! Por favor, controlar su hipertensión (presión arterial alta) con mayor facilidad. ""Presión arterial Diario"" ha sido desarrollado para aquellos que necesitan control de la presión arterial estable. Ahora, puede grabar su presión arterial con mayor facilidad. Puede revisar su historial de la presión arterial con el gráfico de tiempo y mesas. Qué se necesita para controlar su peso? También puede iniciar el control del peso con el diario BP! ? aplicación pareja de Samsung S Salud! ** Caracteristicas ** 1. Entrada de la presión arterial, gráficos y listas   - Puede introducir sus datos de presión arterial con la nota. Usted puede revisar su historia con gráficos de tiempo y listas. 2. Conectar al medidor de presión arterial Bluetooth   - Puede conectarse al medidor de presión arterial Bluetooth y entrada de datos de su tensión arterial de forma automática. 3. Peso principales, gráficos y listas   - Por favor introduzca su peso medido! Puede revisar su historial de peso con gráficos de tiempo y listas. 4. Conectar a escala Bluetooth   - Puede conectarse a la escala Bluetooth y entrada de los datos de peso de forma automática. 5. Guía del Usuario   - Usted puede aprender cómo medir su presión arterial y conectarse al medidor de presión arterial Bluetooth fácilmente a través de una guía gráfica. 6. Los datos de importación y exportación   - ¿Ha estado usando otra aplicación de la presión arterial? Puede importar datos de otras aplicaciones.   - También puede exportar los datos a un archivo CSV que se puede abrir con Microsoft Excel. ? Si tienes alguna sugerencia para nosotros, envíe por favor a help@openit.co.kr ================================================== ===== Esta aplicación se ha desarrollado para el control de la presión arterial personal. Para diagnósticos y tratamientos médicos, asegúrese de consultar a un médico. ================================================== =====",3310,3.7,564,1611,[Update - Change App Icon],"[To use the pressure measurement, you need a bluethoot device first. That's developer says., Aver ke tal es, Muy bueno, Pide demasiados permisos. Obligación de registrarse no tiene sentido, Perfecta para mi !!!, Buena]"
Infusiones,https://play.google.com/store/apps/details?id=com.infusionesuci2,"Con esta aplicación podrá calcular infusiones de medicamentos de forma fácil y rápida, garantizando exactitud y confiabilidad a la hora de montar inotrópicos, antihipertensivos, sedantes entre otros fármacos de manejo frecuente en unidades de cuidado intensivo y urgencias, mejorando la atención de los pacientes y disminuyendo los errores a la hora de iniciar perfusion intravenosa de fármacos.",1005,3.9,204,522,"[Se solucionan problemas de inicio de sesión y registró con Facebook!, Con esta nueva version disfruta de una interfaz renovada y la opción de tener funciones premium, además de mejoras en la estabilidad de la app y en la agilidad de uso!!, Versión 3.1.5, Versión 3.1.4]","[La versión nueva es poco científica, poco práctica y no me sirve en mi práctica diaria, devuelvanme mi dinero, La nueva actualización esta peor k la anterior Esta era una genial aplicación La utilizaba todo el tiempo en la UCI de mucha ayuda Ahora no me permite utilizar ninguna opción x k me pide premium , ya la he comprado 2 veces y la quise volver a comprar pero x mas k le doy la opción de compra no me permite, solo permite la opción de codigo Ojalá algún vez vuelva a ser lo k alguna vez fue, Nuevamente, intenté instalarla en mi nuevo teléfono y me indica que ""falta el nombre"" no fue posible instalarla, La herramienta más práctica para realizar cálculos de infusiones de medicamentos. Recomendada 100%, No se abre la aplicación Y la lista de medicamentos igual, Excelente y facil]"
Presión Arterial,https://play.google.com/store/apps/details?id=com.szyk.myheart,"Esta aplicación ayuda a controlar la presión arterial y mejora el método de tratar la hipertensión. Con él usted puede fácilmente almacenar y analizar la totalidad de sus mediciones de la presión arterial . También genera información complementaria necesaria para el correcto tratamiento de la hipertensión arterial, que puede enviar directamente a un médico en un informes especialmente generados. Características principales: ? Muy fácil de usar interfaz de usuario ? Guarde una medición de la presión arterial ? Modificar y actualizar las mediciones ? Describir las medidas: ? Etiquetas - Escribir descripciones breves y utilizar repetidamente ? Fecha y hora de la medición de la presión arterial ? Los valores de la presión arterial sistólica - , diastólica , pulso y peso ? Descripción ? Soporte para múltiples usuarios. ? Los gráficos interactivos visualización de las tendencias de la presión arterial ? Estadísticas : Presión del ritmo cardíaco , MAP - Indicador de presión sanguínea arterial media presión , la presión arterial media ? Exportar datos a un archivo : ? CSV ? XML ? PDF - informes detallados ? Recordatorios para medir la presión arterial ? Filtros - Posibilidades ilimitadas en su mano. Decida qué datos la aplicación mostrará la presión arterial, analizar o exportaciones ! ? Apariencia - Personalizar la apariencia de la aplicación a sus necesidades ? Imágenes ? Categorías: JNC7, JNC8, ESH / ESC, Aislado Hipertensión, hipotonía Visite Asistencia aplicaciones de presión arterial con instrucciones más detalladas ( traducción página está disponible en la esquina inferior derecha de la pantalla ) : http://www.klimaszewski.mobi/help Sin embargo , recuerde que usted todavía tiene que tener un medidor de presión , con el fin de leer los valores de la presión arterial. Además , esta aplicación no pretende sustituir el consejo médico profesional!",30135,4.2,6641,17604,[Added greek language],"[Muy útil. Seria bueno que se mostrara con la fecha el día de la toma, por ejemplo si es viernes que se muestre 'vie'. Mi agradecimiento a los desarrolladores. Saludos !, Cumple su función y más. Gráficos muy prácticos. Es posible exportar e importar los datos., la mejor que he probado. el ingreso de datos es muy sencillo (especialmente si se quiere almacenar todo lo que está en la memoria del tensiometro). presenta los datos claramente y estos se pueden imprimir para mostrar al cardiólogo. Sólo le falta agregar porcentajes al gráfico de pastel y tal vez opciones para mostrar sólo los datos seleccionados desde el pastel. Agregue los porcentajes y le daré 5 estrellas., Gracias Una herramienta muy fácil de usar, para llevar el control diario, fácil y ordenado para presentar al médico cuando llega la consulta, Es una herramienta muy útil para el control de la tensión arterial que permite coordinar con el médico tratante el comportamiento y evolución de la PA con gráficos amigables, de fácil comprensión y lectura., Muy práctica y fácil de usar, las gráficas muy fácil de entender y se pueden exportar los datos en pdf]"
NUEVA EPS MÓVIL,https://play.google.com/store/apps/details?id=com.colombitrade.health.simplified,"Aplicación móvil de NUEVA EPS donde los afiliados podrán consultar el estado de afiliación, la red nacional de prestadores, oficinas de atención y farmacias. Además recibir respuesta a solicitudes de autorizaciones y noticias de la compañía.",813,2.9,86,260,"[Nuestra última versión de NUEVA EPS Móvil permite:, - Personalizar la contraseña, - Llamar a la IPS asignada con un solo clic desde la pantalla inicial, - Acceder desde la pantalla inicial al mapa con la ubicación de la IPS primaria, - Descargar certificados de afiliación]","[Descargué la app y no puedo ni siquiera crear mi usuario, me pide un PIN que no he recibido. Dice que llegará a mi correo y ni siquiera me lo ha preguntado. Terrible. Seguir haciendo filas interminables, Para que demonios sirve una aplicación que no permite ingreso?... Si hubieran premios a lo peor de la Play Store... Esta aplicación estaría en las finalistas., No deja recuperar Contraseña Cree mi usuario con mi cédula hace tiempo por lo cual no recuerdo la contraseña , intento recordar clave y me pide un PIN , así que no puedo usar la App , ya que en Usuario Invitado no deja hacer nada. Por favor Ayuda., resuperhipermegarecontra MAL La peor apps, lo más inservible que he podido conocer en este mundo. Tal cual como lo es la eps así de mala es está apps. Si hubiera una calificación más baja se la daría. Por favor no vayan a perder su valioso tiempo descargando esta basura, No funciona Intento iniciar sesión pero no funciona. Tan ineficiente como la EPS en general. Por lo visto no soy el único que ve con malos ojos a Nueva EPS ni a lo que representa, Terrible .. pido la certificación pide mi correo.... lo ingreso... cuando dice q el certificado fue enviado al correo .lo abro y nada q llega ... seguire esperando tal vez algun dia llegue jejeje]"
FamiMovil,https://play.google.com/store/apps/details?id=com.famisanar.famimobile,"Si pudieras ahorrar más tiempo pidiendo citas, solicitando autorizaciones, descargando resultados de laboratorio y consultando tus eventos de salud desde la comodidad de tu celular, ¿Lo harías? En EPS Famisanar trabajamos para que digas ¡YO PUEDO! Por eso te ofrecemos FamiMovil, la nueva aplicación con la que podrás: • Consultar tu información personal y estado de afiliación. • Solicitar citas médicas, creando recordatorios en tu agenda*. • Solicitar autorizaciones adjuntando soportes con tu cámara. • Descargar tus resultados de laboratorio en formato PDF**. • Consultar la lectura de tus imágenes diagnósticas. • Consultar tus últimos eventos de salud. *Sólo válido para Cafam. **Si los exámenes fueron tomados en los laboratorios Idime o Cafam Inicia sesión con el mismo usuario y contraseña que usas en Famisanar En Línea, para descubrir el mundo de beneficios tecnológicos que Famisanar tiene para ofrecerte. Famisanar, más cerca de TI.",465,3.0,46,156,"[Por eso hemos realizado algunas mejoras de rendimiento de nuestra app., En Famisanar EPS trabajamos para que digas ¡YO PUEDO disfrutar de mi directorio médico!.]","[No permite subir las fotos, se cierra... Las citas no se pueden pedir desde esta misma app... No me gustó la app. :(, Problemas de conexión Con la actualización la app nunca se conecta a la base de datos. Tampoco guarda usuario y contraseña, es tedioso tener que ingresar estos datos cada vez. No es una app útil ni practica, Pésima. Que App tan mala siempre se queda cargando y nunca conecta pónganse serios si van a brindar un servicio por una App pues que sea de verdad respeto hacia los usuarios o no brinden algo tan re malo, pésimo, inútil, Pésimo Para sacar citas la app direcciona a la página, la página es lo peor que existe en usabilidad, fuera de eso demasiado lenta o arroja error, si de casualidad ingresa no hay agenda. La idea no es facilitar la vida al usuario sino complicarla. Lo que quieren es que no usemos el servicio???, No es coherente con la web en cuanto a la lista de directorio medico. Sería interesante un poco más de diseño en las fuentes de las letras. Al ingresar el usuario debería cargar el grupo familiar para así realizar gestión seleccionando un miembro del grupo y no cerrando e ingresando con otro usuario., El directorio no es útil El directorio no permite ver por especialidades y entonces uno como Sabe cuál es el que le puede servir? Uno no puede saber sólo por el nombre del sitio o del doctor que especialidad atiende]"
Peso Ideal. Calcular IMC,https://play.google.com/store/apps/details?id=com.despdev.weight_loss_calculator,"?omo bajar de peso rápido? Esta aplicación puede ayudar. Contiene herramientas para adelgazar: • Calculadora del Índice de Masa Corporal (IMC). ¿Estás en tu peso ideal?¿ Descúbrelo con la IMC calcular. Es una medida de asociación entre el peso y la talla de un individuo. El sobrepeso puede elevar los niveles, la presión arterial y el riesgo de enfermedad arterial coronaria. También La obesidad aumenta las probabilidades de tener otros factores de riesgo ardiovascular. El Indice de Masa Corporal (IMC) - el método más práctico para evaluar el grado de riesgo asociado con la obesidad. Se trata de IMC cálculo tanto para hombres como para mujeres. • Calculadora del Consumo Calórico / necesidades energéticas diarias. ¿Cuántas calorías necesitas al día? Determina tus necesidades calóricas diarias, descubre cuál es tu tasa metabólica basal (en función de la edad, talla, peso, sexo y actividad física habitual de cada persona). Los cálculos son aproximados y tienen en cuenta del metabolismo basal, aplicado al cálculo de las calorías necesarías para perder peso o mantenerlo. • Porcentaje de grasa corporal. Otra herramienta para adelgazar y lograr tu Peso Ideal. Este medición de la grasa corporal tiene gran relevancia para diagnosticar obesidad. En la composición corporal se diferencia entre la masa grasa y la masa libre de grasa (músculos, huesos, etc.). Este porcentaje mide sólo mide el porcentaje de grasa despreciando la masa libre de grasa. El porcentaje recomendado de grasa corporal varía dependiendo de cada persona (si es hombre o mujer). Si hay un alto índice de masa corporal es porque existe una gran cantidad de grasa corporal, a excepción del caso de los deportistas. • Proporción cintura-altura: Estudios recientes sugieren que es un mejor indicador de riesgo de enfermedades del corazón - el Índice Cintura-Altura resulta más adecuado que el mucho más extendido Índice de Masa Corporal. No solo importa la grasa, sino también dónde se sitúa. Es el indicador de si usted necesita para perder barriga.",19981,4.4,5106,12488,"[If you enjoy using this app, please take a moment to rate it, and tell us what changes you'd like to see, or bugs you've discovered., - fixed some bugs]","[Sencillo de usar. Permite registrar los datos mas importantes. Estaria bueno que tuviese una solapa para registrar comidas y actividad fisica diaria, It will be nice that all the info can be saved in an account, Muy buena, sería bueno que se pueda crear varios perfiles para varias personas., Muy buena app y los anuncios no molestan. Estaría bien que se pudiera exportar el historial a un excel., Está buena porque te tira el índice de grasa corporal que otras no te dicen y a parte es muy detallada toda la información., Me gustaria que en el grafico de peso dependiendo de el intervalo de los dias en que nos pesemos la linea sea mas corta o mas larga porque si uno pone el peso con diferencia de 2 dias tiene la misma distancia un punto que otro de pesaje en 10 dias, tambien estaria bueno que pongan los kg que perdi y que los datos se guarden en linea en algun perfil por si borro datos o formateo el celular.]"
Farmacopedia Colombia,https://play.google.com/store/apps/details?id=com.ctl.farmacopediacolombia,"Catálogo de medicamentos comercializados en Colombia, con búsqueda por nombre comercial, principio activo, laboratorio, patología y clasificación terapéutica. Aplicación de consulta para médicos, farmacéuticos y profesionales de la salud en general, que permite consultar el detalle de los medicamentos con la siguiente información Laboratorio que lo comercializa Principio activo (droga) con sus interacciones Patología Clasificación terapéutica Prospecto: - Composición - Indicaciones - Dosificación o Posología - Contraindicaciones - Reacciones adversas - Precauciones - Interacciones - Conservación - Presentación",183,4.5,34,129,[],"[No da la dosis en algunos medicamentos, Es buena la información y breve y pues es un minimo de medicamentos, ojala se actualice con el resto, La información debería ser igual de completa para todos los medicamentos, en ocasiones se detiene o se apaga la aplicacion?, Me gusta la informacion es buena y clara, Excelente aplicacion. No automedicarse, Demora La descarga de información es lenta. Sería apropiado la función offline. Al buscar unos principios activos no los mostró a pesar que sí está en la base de datos, tuve que buscarlos manualmente. Gracias.]"
Calendario de la menstruación,https://play.google.com/store/apps/details?id=com.lbrc.PeriodCalendar,"Diario menstrual Aplicación extremadamente elegante que ayuda y asiste a las mujeres en el seguimiento de su período, ciclo, ovulación, y en la posibilidad de embarazo (días fértiles). App perfecta para mujeres preocupadas por la concepción, el control de la natalidad, la contracepción, o simplemente para comprobar cuán regulares o irregulares son los ciclos menstruales. Muy fácil de usar pero aún así con muchas funcionalidades. Hace el seguimiento de períodos irregulares, el peso, la temperatura, los cambios de humor, el flujo de sangre, los síntomas, etc. Genial para predecir la fertilidad, la ovulación y la menstruación. La aplicación puede adaptarse a tus ciclos menstruales y predice de forma precisa los días clave que más te interesan. Puedes visualizar toda la información que necesitas en la primera página del calendario. Sin preocupaciones acerca de la seguridad o la privacidad de tus datos, pues el calendario puede ser bloqueado con una contraseña, restringiendo la información sensible de los ojos indeseados. Además proporciona la posibilidad de hacer copias de seguridad y restaurar todos los datos. Fantástico para mantenerte informada de los futuros días menstruales, fértiles y de ovulación usando discretos recordatorios. Funciones clave: - calendario intuitivo en el que puedes visualizar los días no fértiles, fértiles, de ovulación, y de menstruación esperados - diario, calculadora y calendario menstrual - funcionalidades de copia de seguridad y restauración para el calendario, los ciclos y los ajustes. No temas nunca la pérdida de los datos de tu calendario - cosas diarias a tener en cuenta - entrada diaria que te permite guardar la siguiente información: flujo, coito, síntomas, cambios de humor, temperatura, peso, medicamentos, SPM, y otras notas diarias - navegación sencilla entre días - recordatorios de notificación de la llegada del período, ventanas de fertilidad u ovulación. - código PIN para la protección de datos sensibles - permite mantener un registro de los diferentes signos de ovulación - elige entre diferentes unidades de medida - posibilidad de reiniciar todos los datos guardados - permite observaciones cervicales - posibilidad de elegir el primer día de la semana [lunes o domingo] - modo abstinente –permite ocultar los datos relacionados con la ovulación, la fertilidad y el coito. Convierte esta app en el calendario perfecto para niñas pequeñas. ¡Elegante y sofisticado, igual que tú! ¡Disfrútalo! Follow us on: http://period-tracker.com/ https://www.facebook.com/pages/Period-Calendar/971814886201938 https://twitter.com/MenstrualTrack",107009,4.6,21991,77701,"[- El nuevo registro de periodo es fácil de usar y hace más rápida la edición de ciclos, - ¡Nuevo! Lleva un registro de tus píldoras anticonceptivas, - Recordatorios de periodo actualizados, ya sean discretos o personales]","[Me encanta!! Me ayuda a conocer más mi cuerpo,a identificar mis cambios de conductas y malestares en general. Excelente app, Es facil de usar. Tiene lo que nesecita una chava. Tiene para poner contraseña y cambiarla las veses que tu quieras. Puedes editar los dias. Tambien dejar notas importantes. Es util para llevar un control de tu periodo., Siempre he sido super organizada con Mi periodo pero siempre ha sido todo a mano. Me encanta y me resulta super sencillo registrarlo todo AQUI. Una razon mas para seguir siendo organizada Esta super genial, Es excelente, he utilizado otras aplicaciones y no me han dado buenos resultados.. el unico problema es que no puedo reestablecer los datos.. ¿Como hago?, Buenas noches, me gusta mucho la app pero sigo teniendo problemas con los recordatorios. Los tengo activados y a veces funcionan y otras, no. He eliminado e instalado la app varias veces y no sé cómo solucionarlo. Agradecería que me ayudaran al respecto. Saludos., Si me gustaría que podamos tener una copia, van dos veces que se descompone mi celular y pierdo toda mi información y para mí si es importante recuperarla Será posible que ustedes me ayuden a recuperar mi información. Ya que no recuerdo si hiciera e alguna copia. Gracias!!]"
Electrocardiograma ECG Tipos,https://play.google.com/store/apps/details?id=DOCECG.Doctor,"Aprende a identificar los diferentes tipos de electrocardiograma, ideal para estudiantes. Incluyen breves explicaciones sobre las gráficas.",3059,4.1,838,1484,[Actualización necesaria para las nuevas versiones de Android_],"[Ekg Es súper comprensible y aporta información inmediata y puntual, Electrocardiograma importanticimo Se trata d como esta nuestro corazon., Muy útil. Pero como veo mi actividad cardiaca, Muy práctico y conciso, Me gusta Útil y práctico, Perfecto para consultar y aprender]"
Ni Una Dieta Mas,https://play.google.com/store/apps/details?id=com.drsalomon,Mi libro NI UNA DIETA MÁS está disponible sin costo en esta app. Esta app imita una cita médica conmigo. El mejor pago para un médico como yo es el agradecimiento de sus pacientes. Por eso comparto todos mis conocimientos. Cómo utilizar esta app para adelgazar y prevenir la diabetes 1- recibe mi diagnóstico 2- sigue el TRATAMIENTO que te recomiende 3- avísame si tienes alguna duda. Cuenta conmigo. Soy el Doctor Salomon Jakubowicz de Ni Una Dieta Más.,12302,4.9,433,11449,"[Aceite de coco, vinagre y proteína whey]","[Por favor como puedo contactar con usted, tengo S. O. P la verdad que es algo muy duro llevo más de 6 meses tomando metformina y no se si tengo mejorías o no. Hace Más de 8 meses que no me bajaba la regla y ahora llevo más de 45 días reglando. Necesito su ayuda por favor., Yo tengo cerebro de gorda. Soy adicta a los carbohidratos dulces y otra varias cosas mas i causó proteínas.... Y nunca me paso de no tener hambre a la mañana de hecho es cuando conienzo a excederme con ñas comidas y eso no calma la ansiedad de ma tarde sino todo lo contrario la retroalimenta! Si desayuno postres estoy en problemas! De donde sacaron que el cerebro de gordo es ese modelo t an limitado? Esto no es serio! Espero respuesta!, Infinitas gracias!! A mis 38 años, descubro el pq de mi obesidad!! Ya estoy tomando aceite de coco y vinagre. Y pronto tomaré la proteina whey. Además de eliminar los carbohidratos totalmente. Ya descargué la aplicación y enseguida empiezo a usarla. De nuevo infinitas gracias por difundir este conocimiento???, me parese muy interesante el que comparta sus conocimientos.. felizidades por ser tan inteligente. desde hoy empieso a seguir sus instrucciones y despues le aviso como me vá ? soy de estomago grande y padezco mucho de asidos estomacales.. espero que con sus consejos pronto cure ese problema en mi cuerpo.. Dios lo bendiga Dr., Estoy a punto de echarle un vistazo a la app pero me agrada mucho la forma en que explica! Me ha costado mucho trabajo bajar de peso últimamente aún cuando hago ejercicio creo yo que fue por una pomada con cortizona que use durante mucho tiempo.. Será eso? Gracias y bendiciones, De. Salomón dios lo bendiga gracias por su dedicación a fomentar la buena salud, me encanta que nos enseña con el único interés en la salud, super padres sus vídeos muy explícitos detalle a detalle del por qué si y por que no hace que se entienda perfectamente. Por cierto hermosos y fabulosos ayudantes, es usted digno de todos mis respetos y admiración. Voy a seguir paso a paso sus recomendaciones y prontamente le diré de los resultados ya que usted realmente me a motivado.]"
Terminología medica,https://play.google.com/store/apps/details?id=com.qkstudio.medical.terminologies,"Terminología médica con palabras comunes y no comunes, términos y frases. Utilizado por los médicos, enfermeras, Pas, NPS, estudiantes de medicina, estudiantes de enfermería y más. CARACTERISTICAS: ? Una búsqueda muy rápidamente; ? Completamente fuera de línea y libre; ? gran base de datos de terminología; ? marcador ilimitado y favoritos; ? Muy rápido y buen desempeño; El manual contiene una descripción de términos médicos como: queloides, AANAT, Eucoleus, Cyriax, quitina, Radiografar y muchos otros términos Soporte de múltiples idiomas: Inglés, Deutsch, Português, Français, Español",2638,4.5,681,1665,[- Fixed issue report by users],"[Me gusta porque yo como estudiante e necesitado mucha de la información que aquí hay espero y les pueda ayudar a ustedes también :), Buena app... ojala agreguen mas terminología relacionada a la psiquiatría, Muy buena app y màs para todos los que somos estudiantes, con esta app nos facilitaràn mucho entenderles a los profesores xD jaja, Muy buena me encanta Me sirve mucho gracias por crear la app, Exelente ojala la sigan mejorando me encanto buen trabajo sigan asi sirve bastante podrian agregarle algo para calcular el indice de masa corporal y también una tabla con signos vitales saludos ..., Es una excelente aplicación, tiene bastante contenido, informa mucho, y es muy util para aquellos que necesitan estudiar y estan muy comprometidos]"
EPS Sura,https://play.google.com/store/apps/details?id=com.sura.eps,"Al descargar la app de EPS SURA tendrás acceso a toda la información trámites a un clic, de manera rápida, sencilla y práctica. Con esta nueva aplicación podrás acceder a diferentes opciones que faciliten tu vida, puedes asignar o cancelar tus citas médicas, realizar tus pagos, certificado de afiliación al POS y carné de afiliado, entre muchas más opciones.",590,3.0,63,201,[- Corrección de errores],"[Complicada No me deja sacar citas del plan complementario ni odontológicas. La autenticación por documento, fecha de nacimiento y el captcha es muy difícil, debería poner un login y que guarde los datos en el celular. Adicionalmente la aplicación pide acceso al calendario pero no guarda las citas en el calendario. Hay mucho por mejorar!!!, Incompleta Al solicitar una cita médica el botón dice ""Ver Disponibilidad"" sin embargo es necesario buscar día por día. Si la eps le asigna a cada paciente un médico pues la App debería mostrar el listado de citas disponible dia/hora a partir de la fecha actual. Adicionalmente no se puede solicitar cita odontológica, Horrible! Nunca deja pedir citas de ningún tipo, siempre aparece ""Ocurrió un error"". No entiendo para que crean una app si no va a funcionar bien, Homologuen los cambios! La apk era buena hasta q hace poco hicieron unos cambios en el protocolo de asignación de citas, sacar una cita por internet es muy diferente a la app... Como resultado, quede bloqueado por días y la cita mas próxima q era en 3 días se convirtieron en 15. Muy mal, muy mal!, Inconforme. La aplicación no permite gestionar citas odontológica ni de optometria, por favor realicen las correcciones necesarias para tener mayor acceso a los servicios de la eps., Muy mala. Sólo deja sacar citas de medicina general. Ni optometría ni odontología. O sea no sirve para nada prácticamente. Se supone que una app haga todo más práctico pero si no se pueden pedir citas para qué carajos la app. Inútil completamente. Desinstalo. Que basura.]"
